MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037167E:49037168E,CEPO_FEDERAL_23_07_M,Cepo Federal  23-07 M,1/31/2021,153.9548,,,218.2323751
49037193E,ENDUR_41_29_CP,Endurance 41-29 CP,1/31/2021,,,,
49037194E,ENDUR_41_29_S1LH_2,Endurance 41-29 S1LH 2,1/31/2021,236.0356,,,51.53557715
49037195E,ENDUR_41_29_S1MH_2,Endurance 41-29 S1MH 2,1/31/2021,161.3704,,,52.60505584
49037196E,ENDUR_41_29_S1UH_2,Endurance 41-29 S1UH 2,1/31/2021,589.9847,,,60.28450886
49037174E:49037173E,ENDUR_S29_18V_ALL,Endurance S29 18V Allocation,1/31/2021,318.9758,,,54.99342081
49037178E:49037190E,ENDUR_S29_29V_ALL,Endurance S29 29V Allocation,1/31/2021,138.5646,,,51.98441704
49037179E:49037181E,ENDUR_S32_13V_ALL,Endurance S32 13V Allocation,1/31/2021,161.5312,,,51.99531834
49037179E:49037184E,ENDUR_S32_19V_ALL,Endurance S32 19V Allocation,1/31/2021,167.8696,,,60.48630375
49037179E:49037185E,ENDUR_S32_21V_ALL,Endurance S32 21V Allocation,1/31/2021,149.6418,,,51.23685874
49037180E,ENDUR_S32_25V_ALL,Endurance S32 25V Allocation,1/31/2021,218.5172,,,58.02089716
49037182E,ENDUR_S32_26V_ALL,Endurance S32 26V Allocation,1/31/2021,525.1532,,,180.047376
49037201S,ENDUR_S32_7WP_CK,Endurance S32 1595 Sales Check,1/31/2021,1375.342,,,188.8221277
49037198E,ENDUR_S32_7WP_CMP1,Endurance S32 1595 Comp.1,1/31/2021,436.0374,,,194.6433327
49037199S,ENDUR_S32_7WP_CMP2,Endurance S32 1595 Comp.2,1/31/2021,571.9687,,,193.2411963
49037200S,ENDUR_S32_7WP_FG,Endurance S32 1595 Fuel Gas,1/31/2021,130.8341,,,102.0469379
49037204S,ENDUR_UNIT_21_32,Endurance Unit 21-32,1/31/2021,9.343794,,,49.92917171
49037202S,ENDUR_UNIT_23_5,Endurance Unit  23-5,1/31/2021,148.0696,,,407.2317255
49037219E,ENDUR_UNIT_23_5_GL,Endurance 23-5 Gas Lift Meter,1/31/2021,565.5099,,,408.4211941
