Date,Site Name,Total Gas Production,Gas Sales
2/7/2021,CEPO FEDERAL 20-17,1096.11,0
2/7/2021,CEPO FEDERAL 23-7,154.53,0
2/7/2021,CEPO FEDERAL 3-19ST,0,0
2/7/2021,ENDURANCE 11-21-1V,165,0
2/7/2021,ENDURANCE 1595 S29-18V,333.54,0
2/7/2021,ENDURANCE 1595 S29-29V,140.92,0
2/7/2021,ENDURANCE 1595 S32-13V,179.71,0
2/7/2021,ENDURANCE 1595 S32-19V,192.03,0
2/7/2021,ENDURANCE 1595 S32-21V,167.54,0
2/7/2021,ENDURANCE 1595 S32-25V,222.58,0
2/7/2021,ENDURANCE 1595 S32-26V,560.6,0
2/7/2021,ENDURANCE 1595-S32-29S NW1 CP,1603.01,1472
2/7/2021,ENDURANCE 21-32,7.96,0
2/7/2021,ENDURANCE 41-29S1 CP,0,0
2/7/2021,ENDURANCE 41-29S1LH,202.08,0
2/7/2021,ENDURANCE 41-29S1MH,163.3,0
2/7/2021,ENDURANCE 41-29S1UH,596.1,0
2/7/2021,ENDURANCE 42-10 INJ INFO ONLY,,
2/7/2021,ENDURANCE 42-30-1V,43,0
2/7/2021,ENDURANCE 44-32,205.76,0
2/7/2021,ENDURANCE UNIT 23-5,140.85,0
2/7/2021,ENDURANCE UNIT 42-5,156,156
2/7/2021,ENDURANCE UNIT 44-29,54.62,0
2/7/2021,ENDURANCE/WEST SLOPE 32 CP,147,147
2/7/2021,FTUN 1495 S08-23V,1695.87,0
2/7/2021,FTUN 1495 S08-24V,1094.91,0
2/7/2021,FTUN 1495 S08-SW1 CP,5601.63,0
2/7/2021,FTUN 1495 S17-02V,1395.34,0
2/7/2021,FTUN 1495 S17-03V,1330.05,0
2/7/2021,PM-PB-05V-16V CP,636,636
2/7/2021,POLAR BAR 2,262.58,0
2/7/2021,POWDER MOUNTAIN UNIT 34-26X,16.77,16.77
2/7/2021,WEST SLOPE UNIT 33-32,24.62,0
2/8/2021,BARRICADE 11-7,219,219
2/8/2021,BARRICADE 14-01V,121.39,0
2/8/2021,BARRICADE 1496-S26-05V,165.77,165.77
2/8/2021,BARRICADE 1496-S26-16V,209.53,209.53
2/8/2021,BARRICADE 1595-S31 CP,1358.48,0
2/8/2021,BARRICADE 1595-S31-11V,456.55,0
2/8/2021,BARRICADE 1595-S31-16V,964.36,0
2/8/2021,BARRICADE 21-11N1MH,247.53,0
2/8/2021,BARRICADE 22-06 CP,524.75,0
2/8/2021,BARRICADE 22-06-4H,382,0
2/8/2021,BARRICADE 22-06-5H,233.64,0
2/8/2021,BARRICADE 23-31 CP,846.93,0
2/8/2021,BARRICADE 23-31-2H,152.9,0
2/8/2021,BARRICADE 23-31-3H,756.14,0
2/8/2021,BARRICADE 24-36 CP,1054,0
2/8/2021,BARRICADE 24-36S1LH,302.46,0
2/8/2021,BARRICADE 24-36S2MH,698.91,0
2/8/2021,BARRICADE 32NE-6D,169.09,169.09
2/8/2021,BARRICADE 34-24V,119,0
2/8/2021,BARRICADE 41-01,100,0
2/8/2021,BARRICADE 41-6 5 CP,1695.56,0
2/8/2021,BARRICADE 41-6S1LH,847.89,0
2/8/2021,BARRICADE 41-6S1MH,732.78,0
2/8/2021,BARRICADE 41SW-6D,80.58,0
2/8/2021,BARRICADE 41SW/32NE TB,,
2/8/2021,BARRICADE UNIT 14-01 CP,651.91,0
2/8/2021,BARRICADE UNIT 14-01H,609.88,0
2/8/2021,BARRICADE UNIT 24-36,136.74,0
2/8/2021,BARRICADE UNIT 33-12,115,115
2/8/2021,BARRICADE UNIT 44-1 SWD INFO ONLY,0,0
2/8/2021,CEPO FEDERAL 20-17,1079.82,0
2/8/2021,CEPO FEDERAL 23-7,148.63,0
2/8/2021,CEPO FEDERAL 3-19ST,0,0
2/8/2021,ENDURANCE 11-21-1V,61,0
2/8/2021,ENDURANCE 1595 S29-18V,335.91,0
2/8/2021,ENDURANCE 1595 S29-29V,142.09,0
2/8/2021,ENDURANCE 1595 S32-13V,182.18,0
2/8/2021,ENDURANCE 1595 S32-19V,191.96,0
2/8/2021,ENDURANCE 1595 S32-21V,158.27,0
2/8/2021,ENDURANCE 1595 S32-25V,222.7,0
2/8/2021,ENDURANCE 1595 S32-26V,552.67,0
2/8/2021,ENDURANCE 1595-S32-29S NW1 CP,1602.79,1472
2/8/2021,ENDURANCE 21-32,3.3,0
2/8/2021,ENDURANCE 41-29S1 CP,876.6,0
2/8/2021,ENDURANCE 41-29S1LH,221.82,0
2/8/2021,ENDURANCE 41-29S1MH,151.17,0
2/8/2021,ENDURANCE 41-29S1UH,596.42,0
